Well Position,Sample,Genotype,Plate,Biological replicate,Technical replicate,Concentration ,Primer,Cq,Cq Mean,Cq Confidence,Cq SD,Efficiency,Censor,Comments
D5,GR2 (5ng),G85R,C,2,2,5,Pepck-1,21.96464675,21.96947742,0.989840912,0.08891366,no,no,
D6,GR2 (5ng),G85R,C,2,3,5,Pepck-1,21.88307756,21.96947742,0.989746475,0.08891366,no,no,
D7,GR3 (5ng),G85R,C,3,1,5,Pepck-1,21.87068323,21.82759193,0.991924462,0.106786626,no,no,
D8,GR3 (5ng),G85R,C,3,2,5,Pepck-1,21.7059926,21.82759193,0.984130288,0.106786626,no,no,
D9,GR3 (5ng),G85R,C,3,3,5,Pepck-1,21.90609996,21.82759193,0.983353977,0.106786626,no,no,
E1,WT1 (5ng),WT-cr,C,1,1,5,Pepck-1,20.11879234,20.07181957,0.979132398,0.050212444,no,no,
E2,WT1 (5ng),WT-cr,C,1,2,5,Pepck-1,20.01889751,20.07181957,0.973725899,0.050212444,no,no,
E3,WT1 (5ng),WT-cr,C,1,3,5,Pepck-1,20.07776887,20.07181957,0.976892169,0.050212444,no,no,
E4,WT2 (5ng),WT-cr,C,2,1,5,Pepck-1,20.27877844,20.22515008,0.984530769,0.084464044,no,no,
E5,WT2 (5ng),WT-cr,C,2,2,5,Pepck-1,20.26888499,20.22515008,0.980864558,0.084464044,no,no,
E6,WT2 (5ng),WT-cr,C,2,3,5,Pepck-1,20.12778681,20.22515008,0.984779845,0.084464044,no,no,
F1,KD1 (5ng),"221> Idgf6 RNAi, G85R",C,1,1,5,Pepck-1,23.1511124,23.04547292,0.981944585,0.09157542,no,no,
F2,KD1 (5ng),"221> Idgf6 RNAi, G85R",C,1,2,5,Pepck-1,22.99668837,23.04547292,0.988479721,0.09157542,no,no,
F3,KD1 (5ng),"221> Idgf6 RNAi, G85R",C,1,3,5,Pepck-1,22.98861798,23.04547292,0.986369882,0.09157542,no,no,
