"","TktOEWT1","TktDfWT1","WT1","TktDfGR1","GR1","TktOEGR1","TktOEWT2","TktDfWT2","WT2","TktDfGR2","GR2","TktOEGR2","TktOEWT3","TktDfWT3","WT3","TktDfGR3","GR3","TktOEGR3","TktOEWT4","TktDfWT4","WT4","TktDfGR4","GR4","TktOEGR4"
"guanosine",92296122160,161673712973.989,93606990854.0894,212188586513.017,345791904312.422,214240873015.025,133541304607.221,164230276102.26,117981994262.783,207698762664.991,349598883173.071,188499412831.196,78981226334.8372,132291828759.329,100837302862.648,193253550525.886,274977822078.105,251259566657.253,152133601113.031,145914504132.1,123900307502.039,209480120890.363,159760316960.633,321714972990.751
"gulonic-lactone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"histamine",13771797940,41902795422.5681,21361441276.1197,19303104532.4643,68907356358.7957,19376312126.359,26050110630.1503,35819717889.6873,39331314249.5298,18531716164.8749,20012347116.3553,21697938368.2893,43148863744.3498,76127731982.1251,29335430128.4173,78028735145.1871,18626322803.7071,22547178028.412,42524344451.3002,48890647775.6104,29228644007.7776,29795436730.4262,40205627874.8661,18952132700.7517
"histidine",2383395090000,4083185363267.12,3043910436002.95,2420331033616.16,2406602259833.74,2089326003306.47,3248699939359.72,4364357648220.32,2705771986503.16,2913719146316.63,2165626571351.29,2293433356449.14,3956517165250.59,3905288283962.41,5164040223706.04,2382447003921.49,2316285104106.49,1929457823010.08,3184765635164.82,3762154905963.39,3560985268915.38,2792885303074.97,1351693615320.55,2296669925770.77
"homocysteine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32037627.8485176,NA,NA,NA,NA,NA,NA,NA,NA,22789277.312765
"homocystine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"homogentisic acid",14674802880,33241450129.0113,70202977500.549,39545015060.7102,21773558719.8448,32278146637.5167,30025046641.2489,47910906652.5541,75625775704.7951,30880793284.1607,40970618863.9234,32248489673.4801,40816938529.9256,34689277024.5809,24828378983.7681,50947903285.7793,35792906153.6726,70349206252.2113,41634884010.2174,49915469118.1664,63162045315.2145,57916674451.3487,30806840521.0496,62843110818.0604
"homoserine / threonine / allothreonine",433261318500,407394530481.477,266019403456.48,935939105777.032,692568518850.696,533127666570.548,359102880611.866,311980566860.278,314200738807.04,1000721160565.67,615330145392.63,428526503306.89,504387332874.999,376805142265.312,439829597127.422,831613230305.738,650293946706.011,517421645666.731,403899070323.115,336058186937.725,329090488485.807,855913752496.378,829051015216.885,618035879251.547
"hydroxyphenyllactic acid / HVA",NA,2310728111.6356,1766177651.42888,4459308560.24258,10358259969.4079,4330877285.73678,2717124662.56164,1184089159.47832,2341065789.13974,6458363980.11199,14134972348.7304,3740756424.44253,2984521706.87335,2925055941.74541,NA,5243921134.67157,9485258631.14706,10393259582.9501,5380993331.07006,1992491846.12179,2686941558.87398,9300662631.20623,12121155412.7507,10330221751.1782
"hydroxypyruvic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hypoxanthine",88301211000,237369932172.388,240294385013.815,196385970423.371,207595565999.616,57622878492.3902,320326731590.147,232247773545.845,517964908278.964,204330610264.116,150252710057.392,104474341620.029,271276668850.317,397306000541.296,141506189594.623,207784903465.891,160875261655.395,215374548095.136,394901241484.183,338247885006.308,336126723148.237,218869947122.205,145359841286.388,184890398871.355
"IDP",NA,NA,65135322.864782,27534124.3945373,56205772.9862031,5740863.29483026,NA,25699602.8084073,NA,NA,NA,26667765.8911975,NA,NA,22824497.0257125,16012130.9138981,10059140.5244062,21166585.0311323,8007918.15954619,NA,53632120.3599759,NA,6641274.60289941,16042670.6634788
"imidazole-4-acetate",6621573618,8910124008.28762,10471620019.8859,3770175835.04543,7406747840.89777,6317751521.69212,9552700588.58216,9730800078.77748,11850515296.6769,4694822379.26178,4992505532.5894,11822481706.8389,7025806716.0298,8724890290.74661,7168261813.48842,7856300888.58819,5790764807.40417,11295889715.9485,12343200613.3445,6983216826.54851,7630134268.43607,9793810986.26044,4458706475.51503,8499132276.32437
"IMP",9149147007,37940423802.953,30463445556.1643,39702944626.4159,32862998741.208,35260017806.8682,27980477151.8312,39391923449.1264,28024800146.1719,33957910393.1482,25579018179.9291,30866683995.1946,30172910054.2024,33404858358.7681,34004074954.5121,28753496409.0006,26376799515.0314,29294017867.7799,23753583232.1882,40472420059.5946,31337836077.7111,36216449601.9791,11561923739.5147,29365440044.7852
"inosine",198710060700,477828922305.411,419980307040.069,830649883831.192,1032994298299.43,670062564771.907,543225564303.043,491934655447.469,579651703420.235,876832751953.226,1018647117243.7,647912903376.387,391960346705.677,522832459320.05,309977725217.068,825535260506.217,890748234048.607,914915634098.865,630972751619.821,598975553407.73,544938551767.622,945326714728.169,489788150201.935,1089957397720.89
"isonictinic acid ",9154391224,10873118094.0602,15045590802.6966,3533893628.58816,6200908625.97501,4956385070.09396,34768462059.0159,10355531197.7193,22114421834.9296,28423564125.6604,8093191555.88909,10746171335.9441,9237293563.54053,20405886139.3645,14241000812.6747,6470417601.68058,7645026908.48842,9506372204.13839,17681788890.2163,13055117525.5081,30688495621.4368,8598533391.2935,11762866977.7706,8458307947.81316
"isopentenyl pyrophosphate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"itaconic acid",9031204494,18066568190.1336,15412472918.2589,20943988665.5636,17584161091.3864,18197281926.1122,18361501449.9758,21378973339.6666,19764464216.425,28807562047.0007,15214258668.2615,21364809421.4006,12572657856.2819,19082672736.9235,22604384041.6418,23654024319.8207,17272131260.8464,31442370609.0307,28478341053.3278,25480712056.1639,21140831477.7927,35287499671.7416,19410381304.0402,22184701363.2028
"kynurenic acid",62229158340,27710763355.561,34226548575.1371,12477711777.416,33611612318.5306,12373989913.3871,81685381283.781,22080548556.409,44414944653.1681,13229379795.3157,34437240066.6104,15461608726.2094,57379312543.6945,27887821329.5472,16489111530.9808,13360690440.1762,21572443326.4286,72382725821.5909,122486947493.642,25387493853.5611,33817346419.2815,18595888326.7431,16513151615.7062,33440739787.8689
"kynurenine",40558004900,15651542347.1011,10813306438.0155,9239190427.09142,27200476055.06,6015460018.13872,82685925705.7242,12254693100.9033,23152601731.6789,21890481066.4643,25994133909.9427,7330246442.3655,29970998419.1273,10188558722.8292,6675288809.5552,25810260190.5546,23356896640.2144,32660017138.3643,66381126398.2906,16496005853.5139,9586818249.47707,13819624394.6969,13694919591.3684,16107199458.2251
"lactic acid",6910692175000,8945124988990.83,7742902437106.89,8963534948399.69,9964207856521.13,6733312788369.68,10621531438368.9,9210886079766.5,11760679038208.7,8785032079850.96,9251142410385.32,7419741237629.48,9341173269462.92,11060594743762.9,5648073046393.54,9380717507135.88,9213886273182.39,9527227332726.06,11481549280713,10680758805345.2,9788121591439.56,9707232513756.07,5804093596163.42,8918724359817.96
"lactose / maltose / sucrose",222615022100,447022835313.122,481967905361.151,528816925756.116,539459707598.75,450615549250.931,406124831550.909,406079797308.15,329042926468.925,560643890520.383,497770485203.782,566298630685.724,416820536998.186,494201533722.344,565266147235.534,512917537022.2,555237590112.96,618163838928.401,471208596044.502,436751559675.39,452092904974.681,610574184808.427,242989507783.146,560346300961.017
"L-arginino-succinate",6001579499,16611540097.1876,25034511853.7108,16973574691.7316,9583460384.56762,7076207916.4154,16533169265.6042,22515264116.0552,7834053002.64473,17154259798.3314,11787270028.4885,15846801234.2574,12531253186.071,23272020384.321,19203283046.5513,17672451602.4291,9012991175.52047,9303707119.8488,13551215603.4514,19750907522.0624,15306065973.3511,17970913366.5614,3578383259.00503,14729515277.1493
"L-cysteic acid",NA,NA,64628006.3338663,NA,NA,NA,63131382.0318241,NA,NA,43286231.8791186,NA,NA,NA,86138013.3107614,NA,NA,NA,NA,NA,NA,35273016.1301287,NA,16170491.4591953,NA
"leucine / leucine(iso) / norleucine",2554603341000,4364413117616.44,3347706272578.95,3850628085753.61,3999156702743.31,2737396058347.95,4124941070854.63,3863848416294.63,4663805861661.72,4163252662192.33,3952828565954.57,3197932313572.3,3119306139414.26,4132245172256.55,2950728959630.34,3819369364710.7,4241238955447.33,4038300007279.29,4544020757902.95,4157724831453.14,4067013164184.91,3950689519696.51,2241290749382.06,4297627812366.28
"levulinic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lipoamide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L-NMMA",2829279254,2837085372.36007,9391711402.49428,2660759234.0507,3182575281.80988,3539427227.13937,4719060524.43427,2789486265.22936,3417113852.06763,6233185332.39692,3364725506.41377,4408294470.67022,2119688479.14604,5134986251.41101,3710824638.60946,3429992939.07901,4614206301.53123,3598905309.20572,4234597070.19828,3346978550.32883,7158035608.48174,3742544666.95349,3591035084.63854,4320328772.19261
"L-tyrosine methyl ester",6334226856,6646753423.66496,5508661662.12092,5305102501.27663,4862740802.17594,5393168928.07224,6695907089.79237,5573352536.12698,10699714578.1522,8101451125.20957,4589853130.71393,8802921456.95079,11564822731.1244,7067119456.29397,6745099370.54863,11586584493.6915,6978703150.03485,10990929663.0507,14944495106.2505,10145089181.5937,9076963564.79411,18728025510.9118,12847607284.6414,15949328163.447
"lysine",742164886700,505028802075.524,1993063773000.14,893790052973.909,793940079454.526,632355210176.809,767157254234.714,620159222176.34,725521825084.424,902447515598.436,672958498181.284,624796347148.013,500914224487.991,750416465147.245,638573557659.691,981151804772.638,886712467792.619,732067587163.766,616809227232.86,642958473759.22,928264048974.428,946453835837.662,888752965582.551,700500352378.003
"maleic acid",1793372607,1183579433.19697,1257950418.4136,1017821976.63734,661025672.314063,940958247.245363,2057076333.44988,834274367.516672,1787833799.321,798448114.974751,971459585.802307,624563453.451331,1218348946.75325,1206809768.59934,693037752.111532,1495517047.51775,740767889.36815,1501177130.17501,1407210898.14681,1306834401.20481,1119527694.35118,1585197565.57444,1210043035.46483,1629934747.33303
"malic acid",186088382600,352112722189.428,274182573903.947,467732829164.327,225768276586.712,252704030334.879,155086314929.128,523452693017.197,60190071651.301,1095485988265.04,288590448221.357,296101773658.827,668027337737.303,447557753056.568,895760678187.676,997161986450.177,505513019119.475,196087739801.988,144941715448.233,423243536369.164,341837073315.736,1097638603291.1,180020094122.132,395095925958.674
"malonic acid",21639979650,19862191683.503,64904375858.7486,40102311737.9538,27303141626.5872,21152157151.534,52861126611.8269,64661723700.7555,65680629643.0696,29054993748.0154,99027199795.7363,48087832555.0684,52373853175.0192,79621008749.505,37675484574.3527,69388535511.7075,56669492770.4666,79405934782.2349,52978869646.6666,84460719467.8524,33773236797.4127,49729334349.5853,43042249486.7344,46248515479.6242
"malonyl-CoA",21473459.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22053950.1957118,NA,NA,NA,NA
"mandelic acid / vanillin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ManNAC",1569604983,1758215805.21689,2329640107.41966,1895980977.65451,2512707196.6402,1604170837.24327,2458191870.28105,2116596958.47865,2760902092.83654,4177830880.55566,2346877154.17895,2179432368.71475,2265713314.11281,2475490465.91571,1182785739.25232,6705742970.70945,2653559297.08054,2310809893.84825,2229960735.58293,2420305916.81105,1606373401.7873,1629381407.4384,2296022380.62748,3061604451.50998
"mesaconic acid",808882664100,763142737960.995,898080734951.585,746816241894.328,710430983647.66,595226232961.029,841598930283.959,770533995587.331,846479918591.443,876341778824.202,840633022079.629,1001436404039.05,985879842599.57,1123219574134.62,1045982569048.06,939085767113.972,777200438481.21,779596810631.68,793418424675.778,844155246812.122,939051863336.227,844633637162.849,509441085870.714,743864423169.213
"methionine",596360017900,1139089602692.37,1450553624496.66,1053778825367.2,995722940800.941,965853221760.524,903713292260.546,1201403553584.21,1626236132813.82,1059999697110.99,989157700869.84,974255561156.161,845916738084.703,1192479886162.8,821788277696.217,1208069528861.81,1306686536102.5,879025160929.747,1020679114825.15,1060579448324.25,1561317244218.06,1103355807541.43,766409618897.496,1158233872065.9
"methyl acetoacetate",4248768031,3384389076.17884,4072982907.15814,3762910508.68435,8686045151.39956,9428787553.00517,8105175384.39477,2950421008.40625,8240384617.16684,7792207489.72725,4475826311.77431,10803654764.2809,5877566197.20279,8281162844.03556,8767591461.27175,4168181182.49437,4636492855.62968,8187025543.43423,6104312372.79631,5475192032.61608,7676879591.60453,7359713447.31109,9018525541.59917,6968724620.92795
"methylglyoxal",2606174206,NA,NA,NA,618162412.202929,1396025893.39138,3542700717.56108,NA,2245532310.20442,NA,NA,408679645.985722,NA,NA,NA,NA,NA,1865632102.4914,1412438132.76569,981710614.600842,1968857401.87009,1345213038.16423,NA,798560778.225696
"methylmalonic acid",15384862690,16335811814.8122,17090609452.7792,19778784460.6866,17361059348.3002,13082982230.6606,16268023860.6179,15561177023.8269,17550334645.9355,17155777032.2281,14735328215.0169,21372341264.6632,17604578225.8824,15416752703.8708,13427522306.3937,19213007523.6818,16637147323.4186,20797634806.5661,16479056782.2889,16665623460.4727,16320409900.5461,19845664074.7922,3331212259.77854,18104557984.8349
"mevalonic acid",8381614788,31548898202.7931,62303999153.6615,6515602662.67622,38185001908.3928,6180001302.096,113014464623.017,10581229063.7235,36567688854.0694,71991291186.9987,58200527873.9334,21215154031.8464,21719484932.9697,50435372938.4437,5432997414.45401,13500428610.0285,85127514944.6841,12424057243.4202,29422903988.0144,21800055759.2784,100465983721.503,50275730480.6067,44207386185.8187,19090598448.0146
"N1/N8-acetylspermidine",227025459.6,7175848628.60836,4850450069.19555,86751497783.4054,15946704260.9281,6177002153.06898,4802744640.75273,7003651498.94285,8671678001.90417,11299273109.9538,4504505146.43373,5093140715.94052,8238178962.45907,2786794605.21231,8186783573.92297,5979879338.51819,3603927535.74437,4262015957.20795,5059797727.81842,5388053100.77119,5437740363.84846,10868934510.9344,5528687843.3249,4060235682.62513
"N1-acetylspermine",14410212910,10495201180.3174,4432090797.08074,4539687329.91981,3733699326.35626,2348395670.09146,1840807737.29988,1162833297.62018,606119784.229589,349701749.180877,135761632.971121,213181108.319212,338347485.343242,69838370.7584053,24371934.5365822,57225466.2327309,6727860.57709331,19716414.6614476,64899115.5176444,42839628.3991399,11982339.5046455,5182255.10202983,40179908.0053876,45363215.7782101
"N-acetylaspartic acid",140250153900,169586703047.073,163072398537.764,144829471620.522,94567548478.0628,79210648426.822,135168197997.432,178589528349.941,107078438026.617,147020263477.751,84646760308.6695,98279068222.673,90922457279.7563,178124452345.198,170789852157.595,143928588152.026,96137045764.3485,92734312070.6494,121092556258.704,169999688227.172,131259364309.693,129074891488.041,59252980036.581,100126260839.096
"N-acetylaspartylglutamic acid",NA,NA,117162526.436724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N-acetyl-b-alanine",29141494850,40225263273.1118,49727178496.7169,16501352898.9947,30633330369.397,17822057613.6369,46954479459.3199,39886324438.2294,55477343573.623,16205445229.0513,28688818947.6692,26974859011.9799,36459060613.942,31534597761.6073,23140931829.9112,22045842706.5184,32724540766.0568,31011799972.8777,54638795171.9232,34025667459.6454,44789643204.8127,20252103420.7322,11791991784.1999,28834997188.3557
"N-acetyl-DL-alanine ",5584400494,11621734914.5575,11138938130.0994,8826836239.92295,14820675126.5404,6076933732.67148,17625183334.8084,10603304770.9028,16113780462.3125,14351479518.5705,14674652824.9209,9498296103.69817,31103768323.7131,11825517296.4585,24351248333.4124,35885955962.604,13860568948.7937,14861938116.8698,22118774945.4971,11741875073.1855,20755460958.957,11329407092.687,7933043987.28597,12339605247.8684
"N-acetyl-DL-serine / O-acetyl-L-serine",16081576790,26700924224.3338,31523153915.2348,27464797105.0537,31893563155.4004,16147042198.8158,26062075224.842,23476094910.2589,28032837723.0219,25341972468.0828,21074718987.8223,19752232473.7763,21717878755.2893,30774596628.0899,16190087111.4676,25053244921.8926,32178884706.5413,25606950062.7353,29819864336.3066,28559174439.4569,27313164698.7568,28776389559.845,11674188999.9828,27721603981.0273
"N-acetylglucosamine 1/6-phosphate",3660111150,9378720745.69563,19292505878.3659,10297464795.0878,9058122437.02894,9748130809.9012,9509451047.98904,10391151087.2166,8346442978.11767,10072674722.648,8168019166.87955,10570036220.811,7200635507.95248,12922466919.1818,10829043968.4103,10373026152.0301,8252152554.59126,7747641243.07738,8029586700.96558,10748388716.0121,12158755539.8377,10180676721.4897,3402643315.33759,10470650621.7923
"N-acetylglycine",6998710935,10820188320.4207,10518393915.1663,10665544485.2691,12305102646.2157,7533125881.66808,11833653546.8316,10543404823.6493,13185799188.6758,14551928095.0542,12384458885.21,7537815863.4061,9218956227.50134,13080154345.2746,5730274124.97499,12182487860.5251,12960438662.0251,9070114543.43935,8241687269.15951,12841748179.1047,10916091732.1868,11971758636.2254,3808862182.44077,12155162421.6366
"N-acetyl-L-glutamic acid",6831549325,9720131130.23292,6274727304.68856,6301717445.51236,4952184923.57878,3066211201.83862,6145691208.10771,6905488473.87202,4297179275.12949,7725791521.68233,4263553506.56783,3232791020.98775,7357420043.12636,6798123247.72649,7071178997.97222,5398710745.50745,3819491999.78158,1851304312.09837,5313998789.56796,5426216937.6519,5906851259.14832,5607572829.26345,4220716421.10371,3225291177.41589
"NAD+",8837588753,23936421823.1385,31649976324.5894,14630905555.6493,12508293868.1512,15049687521.7553,23378772405.1361,24260574643.9256,12637148229.5728,17513564335.7431,10392633111.5793,14893131597.8587,24534483960.7909,22087217748.5216,22087232488.6997,12567891576.0916,10386890321.272,11353313960.7035,14975079913.1949,23724855632.4591,20778270738.2277,13890194129.8179,3316977591.43653,12066577371.8977
"NADH",745946218.1,1281394915.00631,561409039.331796,512154807.563863,709305358.129938,586608793.902615,1163983029.85406,1180764798.3769,222854525.349892,1742883368.43829,1317910000.86508,682964210.137507,1578811005.53497,2128007810.68336,1373109002.91509,944752417.292805,654372380.749464,456467767.891441,1275386324.15246,2004413617.36592,1320790146.19373,988207197.505128,229938078.841176,902511450.725445
"NADP+",198022084.8,293070707.417139,3351833122.78823,248966823.39543,178990642.361269,108000629.716021,346338101.908404,501974093.297633,300119497.034452,300238913.745718,244141055.195494,237760668.999366,218461099.043612,360644404.929067,392064100.550831,253368161.683887,299321716.933605,311090739.54599,296637140.396542,346633276.571987,564047638.503054,113959439.995133,60877922.9827142,314172059.024141
"NADPH",12670828.33,27427549.8371083,62779334.9709229,28313144.0576776,22237605.6745212,NA,13759974.3764689,47201159.3279,NA,NA,19487465.5686983,NA,12295292.7747212,9650333.88360298,22112588.9264921,28839645.0554712,28031048.8348719,NA,8466761.57602303,NA,27560736.2081606,10490542.7941666,NA,NA
"N-carbamoyl-L-aspartate",NA,94604744.3619922,NA,15227345.9452459,126229205.146408,47916993.6147196,10901568.9333533,NA,49462742.7160712,49930204.9023778,NA,47347402.013827,NA,NA,NA,NA,51334871.0135629,45232978.1897457,NA,NA,NA,52772136.3536119,NA,45538129.7309057
"nebularine",NA,NA,7547933.18487462,NA,NA,NA,NA,NA,NA,NA,14656677.5682686,NA,NA,NA,NA,NA,NA,NA,7275566.07345423,NA,NA,NA,NA,11219507.1431889
"N-formyl-L-methionine",430266366.8,945850685.918256,800005900.361042,993947539.402388,815448669.391622,514347260.832748,882308539.633855,801687193.334443,902351238.561633,821588313.000229,1581376364.99257,507796121.047182,765322170.122725,916325000.928818,543439697.046838,1153984727.13011,1486884645.286,791353395.58203,1803088147.74296,968499738.694982,928417773.510682,1077971850.33937,907240373.375487,822140295.264836
"nicotinamide",NA,41709455018.7236,40139177353.1835,NA,25265332140.4012,NA,32784542574.2516,23120896482.0307,67766858823.3789,NA,NA,NA,66557215337.4932,40834345004.7932,62852541993.797,NA,NA,33939920375.0819,48240102557.4184,31187604735.3197,39876886035.6299,20914688163.8404,NA,17738499985.2841
"nicotinamide riboside+",18042235370,79788592095.6799,30031545829.4663,7818006350.74923,13636047749.0165,8182093075.36714,56553354252.1351,64400248204.3858,38377142765.8083,13909607590.9069,10407799528.8114,11801002071.3135,32081349816.0001,62738375220.591,43897549984.3706,9921996899.29095,9472546812.8355,6615716476.18434,38175358442.1666,64877369699.6276,44552335140.2767,19201569942.6493,5876849926.19472,12741628333.5947
"nicotinic acid",21498407210,47579585779.6981,37028185462.015,40533364879.0851,53616176426.131,30099108702.0372,49212869746.9991,44954559183.899,65232338932.1913,49940543609.8926,45954486878.9186,38388180957.1115,47752068119.4501,54278029615.2781,23178177501.6723,43080431956.1145,50011731918.9088,53343017752.3213,58336621669.3881,59414672076.9551,52534293403.2296,52973021762.8024,31955130664.9917,53485908270.6224
"N-methyl-alanine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N-methylaspartic acid",810901884200,1054838282083.12,920900275925.726,730645279.318348,763048469625.097,663566111036.518,841619169452.16,1180614858221.16,604671419741.939,461887913.544839,657945810463.667,707472610191.146,992896322720.661,825479740865.423,1104547533799.07,378492147.328322,423268178.305015,549250661.973813,243778228.611572,914900914918.952,757719965.426511,47667522.718835,464112555450.872,206829174.903697
"N-methyltryptamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMN",5642845545,10958752568.242,21397632149.9791,5524958646.86351,5871281522.44736,2829442031.06289,14470620424.9014,13913351791.4082,12096598083.3931,7974049549.82077,5190541553.13538,6594128068.39864,9136066720.71094,17538205522.5689,14531795749.6361,7535800008.19102,6106753527.62587,4552876195.41475,11979768586.2543,14649424125.7334,16943765601.8518,7290345487.56895,3174496703.26806,6106746231.94157
"norepinephrine / pyridoxine",5190668232,989986529.635554,2223021127.62454,2500275408.63184,NA,NA,1575665800.69038,1836881497.595,2903734510.07593,2016116058.43745,2011530148.67159,1850295852.98862,NA,1130350080.22601,3838705586.90881,1757192967.13428,2903083012.28369,2785434303.35576,2554333297.32203,2106370838.72576,2268522548.49289,536322488.519324,NA,1362132215.38209
"octopamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ornithine",14790230490,9588144304.92304,45834798285.5431,30468760064.7092,37847326312.9111,35305079374.4903,20241239672.2132,14518412841.3401,17504463855.9226,28483132876.9667,32146799707.9699,38266200303.2727,12845165277.8649,18490099040.937,23540233394.8439,43499535480.4198,35011292518.1005,35204475835.8131,14748275648.6083,16713269054.2508,30619377244.7941,26221011827.9924,52581629136.6908,38277391325.0709
"orotic acid",976457918.7,1904963165.76802,2395479389.08938,7891439466.87991,11544696755.5789,3126457022.13401,2128967925.50228,1861367897.61561,4113623971.97225,5613500907.90591,9625778701.46429,5229707848.53637,2244556311.25013,2020579158.49209,1821098102.08115,7577409648.8184,10004281862.4282,11144057592.8752,3135774297.9024,2370018085.56248,2642880580.1791,8602363458.43817,1903878188.90892,8030939135.04854
"orotidylic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O-succinyl-homoserine",41210965.48,68005415.4978099,465556541.864499,233882194.823701,127325844.250428,172587870.533558,217438092.703361,299838214.890665,326092042.980956,205927341.133251,314420283.610376,335847397.197275,42419453.6859352,422256865.987536,174534476.475563,244178161.781697,156203507.246467,275632326.083909,273015176.167225,446948755.116411,450308661.867248,284189554.695838,198806433.116343,306449651.224567
"oxalacetic acid",NA,NA,NA,NA,NA,NA,NA,NA,61366493.3294284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pantothenic acid",186858047500,354531662893.439,291189612785.683,270547725745.698,282793945777.08,197833958756.421,312893912571.684,273373805029.11,343686871070.558,283246198025.13,238765843373.644,230582881111.248,203043078142.036,291041419557.498,189439085781.341,252187564979.778,266149016464.35,318412544933.203,359201809880.502,290019558824.947,283143029070.664,258609497392.209,118553147310.765,331956825594.352
"phenethylamine",2051902874,NA,1258288277.17137,563717667.162233,1490341158.53053,638491259.883655,1498306411.45518,808035348.176067,1005616417.91595,806782415.818691,903510523.475037,NA,2432492295.98247,195653374.197511,1218107031.9563,1183240941.75945,1558389265.61038,1748810244.87861,1575811718.14931,908369754.469172,1735600529.88764,526066561.039609,1178985854.80477,674458486.100852
"phenylalanine",1179264809000,1918847927922.24,1539439245852.62,1457293252424.62,1662773310958.67,1065874800977.59,2104120669768.47,1703372461202.96,2246020241991.52,1608752560869.18,1599017551813.12,1335794563673.98,1545493078773.34,1751220163341.26,1103674188872.98,1481245792864.46,1709576088189.12,1474146565337.87,2244052972604.89,1810790791721.92,1974954866199.08,1576658219799.37,960934255840.274,1705927755091.44
"phenylephrine / synephrine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phenylethanolamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phosphocreatine",219511563.2,221585614.193904,57446454.8672075,87115084.0087869,56169457.6679279,47293791.2191811,12404192.18676,8666959.56233201,11716524.937115,12497021.9612169,NA,NA,10551004.1346697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phosphoenolpyruvate",451423934.4,518147642.258715,3893340969.21643,761404949.81303,519552543.051399,571444075.171153,800240478.496912,1250440939.89949,381235958.56286,722853539.977992,946653849.938488,1091115829.90363,99974198.944719,1196344442.45875,321652430.353085,685439501.434943,397285218.112801,525705818.661099,288802142.208269,949443182.569081,808349602.353489,1089227292.87103,116448034.877567,716762765.736208
"phosphorylcholine+",1673025269000,2911175730427.58,3609341734151.28,5902417540887.16,4579787456178.46,3784087810382.01,2371126792550.22,3867982778121.64,1905515603325.87,5772784130871.1,4780448304172,5252555379575.35,1567258860290.01,3889927308133.47,3245518407238.15,5393821671891.96,5714066035236.84,4545267065023.25,2294264429671.09,3456833328736.36,2695638769207.39,6240768211986.94,4045947655230.78,4949184301606.65
"picolinic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"proline",11321822552000,15180241953972.5,13561551837569.6,12200733663689.8,13325709279890,10878995743212.2,14560416343860.4,14695816253468.3,15073361050693.7,12890008169034.1,12461737841477.1,11580245197602.5,13943557118025.4,14499857897993.2,13891929896464.5,11856021273103,12463371040092.3,13592322561533.6,15280073406073.5,14462487796423.6,14497471460888.5,13751765508489.4,10623078312316.1,12989871785219
"propionic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRPP",NA,NA,NA,57095.2098302065,NA,NA,6929186.90583186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
