"","logFC","logCPM","F","PValue","FDR"
"FBgn0053827",-2.22227352850442,5.1262115757702,50.3961686994639,0.000505059607818072,0.0416349619337731
"FBgn0028887",-7.96846265201381,2.79399482310058,50.0838760504483,0.000513232558572163,0.0416349619337731
"FBgn0261823",-3.15600773086516,3.93345286866187,49.5347390508877,0.000528043584586651,0.0416349619337731
"FBgn0053839",-2.39823472546371,5.22896074349864,49.4664873693364,0.000529924681800047,0.0416349619337731
"FBgn0053854",-2.39007125067859,5.24394572091915,49.3419562078335,0.000533380347329206,0.0416349619337731
"FBgn0053821",-2.22643170375311,5.11050127916249,48.9943053163967,0.000543190323036053,0.0416349619337731
"FBgn0028402",-10.5902496180253,2.15570138863993,70.0225798687999,0.000555413184549726,0.0416349619337731
"FBgn0053824",-2.30005563586497,5.1233627755775,48.5237884906914,0.000556860207031098,0.0416349619337731
"FBgn0052506",-6.99307780184645,1.83639284147607,47.2308790231897,0.000596904199692894,0.0416349619337731
"FBgn0053818",-2.23761332422593,5.11348266298079,46.7325394047337,0.000613379782761973,0.0416349619337731
"FBgn0259993",-8.36371366520084,2.32110572113231,46.4892141058815,0.000621648368310467,0.0416349619337731
"FBgn0031483",-7.1031066550943,3.15126411740909,45.6512462012383,0.000651305926742837,0.0416349619337731
"FBgn0053296",-10.5840816906063,2.14976527723041,64.451743653592,0.000666741820335982,0.0416349619337731
"FBgn0040718",2.09243106928952,7.96109698591351,44.6502702181006,0.000689299357164262,0.0416349619337731
"FBgn0032149",-10.4528843146944,2.01962794572639,63.1565900584165,0.000697155486146648,0.0416349619337731
"FBgn0038179",2.33492098816901,4.47946740939976,44.3246500942729,0.000702304268383234,0.0416349619337731
"FBgn0002534",5.50789626638977,13.1416106702387,44.0218386267727,0.000714698016065006,0.0416349619337731
"FBgn0038930",4.85548046203372,3.13586525439021,43.3228376821277,0.000744460027803185,0.0416349619337731
"FBgn0050371",4.08336159951266,3.30516335149314,43.2797596788656,0.000746348670505988,0.0416349619337731
"FBgn0010425",9.95492213178267,9.48652165479126,42.8356006268364,0.000766205303748089,0.0416349619337731
"FBgn0261881",-10.3563679622433,1.92466976662215,59.3357499018415,0.000799352393694371,0.0416349619337731
"FBgn0036599",3.45947770850614,2.84717746053971,42.0702573158402,0.000802133187192067,0.0416349619337731
"FBgn0033748",-8.94898934118267,2.92495858808647,41.8726448908173,0.000811779038674604,0.0416349619337731
"FBgn0010042",-10.3012848349056,1.8712919866352,58.1789116278355,0.000834516974774589,0.0416349619337731
"FBgn0031128",-11.4414337253137,2.99636469784893,57.8874321250015,0.000843725253729253,0.0416349619337731
"FBgn0038827",-10.2933124570362,1.86389442819355,57.515585310468,0.000855684615102373,0.0416349619337731
"FBgn0033527",-6.75773784182317,1.60666345282737,39.4178182983482,0.000945857322373441,0.0416349619337731
"FBgn0033233",-10.331894738944,1.90237321437286,54.8573056457834,0.000948683975831976,0.0416349619337731
"FBgn0033726",-6.89814250818392,3.44097923487993,39.2191147243633,0.000957987090324315,0.0416349619337731
"FBgn0085452",2.26801590957893,3.47731152829228,38.7693500066709,0.000986231289886915,0.0416349619337731
"FBgn0030615",-3.95217275015909,4.88033133940759,38.3172012764781,0.001015773432057,0.0416349619337731
"FBgn0262964",1.89969251766546,4.27543517633326,38.2045800866471,0.0010233177242512,0.0416349619337731
"FBgn0030007",-2.91734259125357,4.24530349724589,38.0340522826287,0.00103488614648548,0.0416349619337731
"FBgn0083004",-10.4579891456922,2.0235567299902,52.4482772403736,0.00104596056959433,0.0416349619337731
"FBgn0038887",-10.658768261473,2.22428436023768,52.3153786841101,0.00105173547318783,0.0416349619337731
"FBgn0264753",-8.1122918617948,2.07235856149587,37.7898012945675,0.0010517663479989,0.0416349619337731
"FBgn0086251",-10.4389019269267,2.00810047562343,52.19958559894,0.00105680429926648,0.0416349619337731
"FBgn0038243",2.2568286803133,4.53479239856472,36.9794792798741,0.00111051169423347,0.0416349619337731
"FBgn0032361",-8.01976396432667,1.98081067629849,36.5782594573212,0.00114124894075603,0.0416349619337731
"FBgn0052820",-11.028214300787,2.58818508026665,50.1582751755715,0.0011522056721753,0.0416349619337731
"FBgn0052259",-11.0079833030357,2.56824857274201,49.4471707912154,0.00118833693110823,0.0416349619337731
