Gene name,Glia precursors (GP),Midline glia (MG),Perineurial glia (PG),Subperineurial glia (SPG),Astrocyte like glia (AG),Ensheathing glia (EG),Cortex glia 1 (CG1),Cortex glia 2 (CG2),Twi+,Unanotated (UA)
Ref1,1.77827941,4.010279139,6.429483715,3.061212069,2.792196292,22.91676212,2.260742049,752.1226366,38.60043321,2.843810866
Dpck,1.22061889,1.415121244,1.375196568,1.383776117,1.323188207,1.410669535,1.360201467,1.685792525,1.24443457,1.267175827
Tailor,1.093858231,1.441219597,1.478465929,1.383776117,1.498565312,1.938011375,1.128837892,2.58446785,2.307429771,1.330802093
CR45907,1.010017746,1.037225095,1.021960152,1.014540976,1.015679663,1.082636734,1.009365794,1.073810967,1.122740346,1.058821363
alphaTub84B,9372.629978,83298066477,4.07439E+13,6121161751,8.55919E+12,1.92099E+17,1.05753E+11,9.31263E+27,6.37484E+28,4.45591E+13
CR43685,1.040677146,1.22264841,1.082907085,1.114350837,1.097843767,1.410669535,1.113162851,1.646246427,1.609547918,1.130294175
e(y)2b,1,1,1,1,1,1.026819843,1.014081534,1.048621014,1.012946696,1
Alh,1.043273722,1.22264841,1.224758083,1.03674985,1.031605178,3.093295829,1.057527082,7.004236871,1.878205106,1.121102678
Mlp84B,1.002495083,1,1.014587035,1.007244249,1,1.008861195,1,1,1,1.008198621
CG10098,1.292622947,2.993577295,3.424452882,3.314180636,3.018072928,2.251595756,1.616225759,1.898237355,1.509283936,2.536619456
CG10068,1.083008923,1.31536905,1.260749866,1.180593298,1.186654592,1.461338943,1.092600861,1.329570407,1.152000093,1.085078087
CR42875,1.004996391,1.018442485,1.007267112,1.007244249,1.015679663,1,1.004671983,1.126020745,1.012946696,1.008198621
CG31248,1.004996391,1.018442485,1.014587035,1,1,1,1,1,1,1
Fer1,1.002495083,1,1,1,1.015679663,1,1,1.024021979,1,1
CG2656,1.085711119,1.415121244,1.436258806,1.180593298,1.115057588,2.007622214,1.204957308,2.523840212,2.108736651,1.267175827
gfzf,1.00750394,1,1.082907085,1.007244249,1.031605178,1.214202682,1.014081534,1.238179203,1.039345109,1.008198621
Sas-4,1.010017746,1.056354104,1.082907085,1.03674985,1,1.15160272,1.014081534,1.238179203,1.108390354,1.033199999
MAGE,1.072267222,1.178768635,1.297799335,1.090479624,1.097843767,1.280205514,1.082462738,2.038348089,1.293396983,1.093974231
sas,1,1.037225095,1,1,1,1,1.004671983,1.209133425,1.012946696,1
CG10055,1.030355309,1.31536905,1.155827656,1.106336262,1.064209244,1.349796194,1.037992778,1.685792525,1.212827073,1.102943312
lap,1.051102385,1.291549665,1.122831183,1.106336262,1.408149122,1.182488525,1.139410355,1.153069992,1.166914687,1.067502238
CG14609,1,1.018442485,1,1,1,1,1,1,1,1
thw,1.002495083,1.018442485,1.007267112,1.306133176,1,1,1,1,1,1.01646446
CG1234,1.051102385,1.22264841,1.425896655,1.03674985,1.064209244,1.448503471,1.097705474,2.710127298,1.528824176,1.177394454
CG10053,1.027790885,1.056354104,1.098703488,1.044260324,1.064209244,1.214202682,1.047714405,1.533087739,1.260545886,1.076254285
CG1227,1.025232844,1.115883993,1.098703488,1.098379329,1.080895687,1.203537898,1.057527082,1.298380732,1.197325661,1.076254285
CG10050,1.00750394,1.037225095,1.051992343,1.029293393,1.031605178,1.092230189,1.033165845,1.024021979,1.066431491,1.041670815
Syt4,1.02268117,1.056354104,1.051992343,1.014540976,1.0477804,1.035918694,1.014081534,1.180769016,1,1.111985927
rn,1.00750394,1,1,1,1.015679663,1,1.004671983,1.073810967,1,1
CR44334,1,1.018442485,1.007267112,1,1.015679663,1,1,1,1,1
CG14598,1.002495083,1.018442485,1.532973302,1,1,1,1.004671983,1,1,1
CG1142,1.091135757,1.157422881,1.612676175,1.278153672,1.168335485,2.212216291,1.21624269,5.656884604,2.624184787,1.267175827
snRNA:7SK,1.027790885,2.077113926,1.181209807,1.466034534,1.243353424,1.920989116,1.092600861,1.685792525,1.066431491,1.444024189
alpha-Est10,1,1.018442485,1,1.044260324,1,1.026819843,1,1,1.012946696,1.008198621
alpha-Est9,1.187614044,1.698864456,1.251653957,4.553100222,4.249896743,1.008861195,1.166276754,1.048621014,1.026061009,1.256871215
Mics1,1,1,1,1.014540976,1.031605178,1,1,1,1,1
alpha-Est8,1.015064189,1.157422881,1.021960152,1.007244249,1.186654592,1,1.009365794,1,1,1
alpha-Est7,1.017596859,1.075835899,1.007267112,1,1,1,1.023579213,1,1,1.111985927
alphaTub84D,1.478813545,2.360564508,8.778013136,3.039195382,2.176896784,9.075162414,2.563934242,189.8237355,38.60043321,3.348287142
alpha-Est5,1.02268117,1.018442485,1.014587035,1,1.015679663,1.026819843,1,1,1,1
alpha-Est3,1.03292613,1.095676986,1.139209961,1.180593298,1.115057588,1.082636734,1.077429008,1.099606032,1.166914687,1.102943312
Nlg3,1.002495083,1.056354104,1.007267112,1.007244249,1,1.008861195,1.004671983,1.048621014,1,1.067502238
CR44332,1,1,1,1,1,1,1,1,1,1
Nlg1,1,1,1,1,1,1.045098172,1,1.024021979,1.026061009,1
pyd3,1.03292613,1.095676986,1.457209563,1.487352107,1.430228426,1,1.004671983,1,1,1.076254285
Sp7,4.23275739,23.17818181,10.90776692,1.383776117,2.316673681,1.035918694,1.004671983,1.024021979,1,1.953350337
CG2641,1.010017746,1.22264841,1.082907085,1.074850251,1.132541315,1.121523632,1.062467831,1.048621014,1.182022377,1.130294175
CG18744,1,1,1,1,1,1,1,1,1,1
CG3014,1.004996391,1.018442485,1,1,1.031605178,1,1.009365794,1,1,1.024798068
CG18268,1,1,1,1,1,1,1,1,1,1
CG2993,1.015064189,1.075835899,1.007267112,1,1,1.008861195,1,1.099606032,1,1.024798068
sgll,1.217580924,1.608233878,1.771852938,1.393800535,1.545927736,2.135511506,1.341313712,3.778501401,2.055176674,1.319980076
CG31473,1,1,1.021960152,1.007244249,1.015679663,1.017800911,1.004671983,1.073810967,1.052801194,1.008198621
CG34384,1.002495083,1.018442485,1,1,1,1,1,1.073810967,1.012946696,1.01646446
CG17816,1.017596859,1.200508058,1.014587035,1.014540976,1.064209244,1.045098172,1.028361358,1.126020745,1.197325661,1.085078087
ArgRS-m,1.004996391,1.056354104,1.067337791,1.090479624,1.0477804,1.111672882,1.052609309,1.073810967,1.026061009,1.033199999
mRpS9,1.190577239,1.827699369,1.960888187,1.833677196,1.619792782,1.938011375,1.500076337,3.355623258,3.482566687,1.541499054
wtrw,1.321941148,4.641588834,1.837176762,1,1.150299182,1.008861195,1.004671983,1.048621014,1.012946696,1.033199999
EMC1,1.486202276,4.236274826,2.6196242,1.403897573,1.570167363,2.043359718,2.127821646,1.898237355,1.738695234,1.288039193
Taf7,1.025232844,1.115883993,1.075094254,1.155303063,1.115057588,1.410669535,1.052609309,2.13745464,1.197325661,1.05021108
Prat,1.030355309,1.22264841,1.198440155,1.172102298,1.132541315,1.385997517,1.077429008,2.038348089,1.509283936,1.093974231
CG2846,1.030355309,1.22264841,1.181209807,4.085876791,1.080895687,1.554428969,1.107986357,2.188800532,1.784007386,1.277564921
CG2678,1.004996391,1.037225095,1.007267112,1.044260324,1.0477804,1,1.004671983,1,1,1.01646446
CG10445,1.002495083,1.075835899,1.03686752,1.014540976,1.015679663,1.131461672,1,1.099606032,1.026061009,1
lds,1.012537824,1.136463666,1.189793791,1.051825205,1.031605178,1.51382833,1.023579213,1.726288598,1.152000093,1.085078087
dsx,1,1,1,1,1,1.017800911,1,1.024021979,1.052801194,1
CD98hc,52.4441402,249359.2005,111.4730314,7.123026775,7.101520603,3.438733087,3.191894901,29.80072324,10.12946696,5.646418314
CG2781,1.004996391,1.037225095,1,1,1.150299182,1,1.335076258,1,1.012946696,1
PIG-H,1.056354104,1.200508058,1.307230588,1.223979925,1.0477804,1.246767408,1.128837892,1.533087739,1.609547918,1.206591562
Kmn2,1.127062635,1.268161613,1.345645978,1.383776117,1.150299182,2.025412146,1.067431663,3.869268484,1.85419935,1.139561029
CG2698,1.061632062,1.291549665,1.189793791,1.180593298,1.386410669,1.527242658,1.102833936,1.646246427,1.58897593,1.374984721
CG2767,1.348559553,2.077113926,3.027834098,2.827552376,1.570167363,1.653449003,1.500076337,4.254670963,2.191705124,1.566879004
CG11052,1,1.018442485,1,1,1,1,1,1,1,1
CG3223,1.135520045,1.22264841,1.784729191,1.476654852,1.365007807,2.19278559,1.438449888,2.910164414,1.784007386,1.277564921
CG10435,1.045876776,1.056354104,1.147488727,1.122423471,1.115057588,1.302994339,1.150081837,1.329570407,1.122740346,1.130294175
Pbp95,1,1.037225095,1.021960152,1.021890563,1.031605178,1.101908654,1.004671983,1.209133425,1.094223771,1.024798068
CG2747,1.088420058,1.467799268,1.164227185,1.334725167,1.594787058,1.314540426,1.500076337,1.153069992,1.182022377,1.352713031
ImpE3,1.056354104,1.075835899,1.122831183,1.508979659,1.031605178,1.017800911,1.009365794,1.126020745,1.361689888,1.093974231
CG10903,1.064280922,1.268161613,1.415609264,1.155303063,1.186654592,1.280205514,1.150081837,2.295222234,1.85419935,1.298599338
CG11035,1.066936391,1.095676986,1.114730314,1.059444888,1.168335485,1.235816596,1.072418686,1.209133425,1.122740346,1.076254285
unc-45,1.043273722,1.157422881,1.082907085,1.163672366,1.243353424,1.280205514,1.057527082,1.646246427,1.716472585,1.148903858
mAChR-B,1,1,1,1,1,1,1,1,1,1
CG7900,1.017596859,1.22264841,1.075094254,1.029293393,1.015679663,1.045098172,1.004671983,1.099606032,1.122740346,1.008198621
puc,2.054804758,11787.68635,14.89210106,5.532822127,11.50299182,4.560409392,2.314048567,2.910164414,3.666450365,2.536619456
CR44331,1.004996391,1.136463666,1.051992343,1.007244249,1,1.008861195,1,1,1,1
CG7878,1.169989107,1.730195739,2.816342926,1.610262028,1.545927736,4.030546952,1.398778627,8.880831054,3.713918783,1.49196579
CG9667,1.069598485,1.22264841,1.467799268,1.20643715,1.168335485,1.568203067,1.171725579,2.910164414,1.761205593,1.148903858
Gie,1.7475284,3.402091828,4.28623,2.293514908,3.065395295,3.690199184,2.948734205,3.518777065,4.169766461,2.262611182
grn,1,1,1.021960152,1.014540976,1.015679663,1.017800911,1.023579213,1.073810967,1.080238255,1.16781994
CR43302,1,1,1,1,1,1,1,1,1,1
CG7800,1.270270183,3.16227766,1.918752099,1.487352107,1.224159023,2.615920378,1.139410355,1.267922718,1.433588739,1.363803413
CR45550,1,1,1,1,1,1,1,1,1,1
CR45549,1.002495083,1.037225095,1.007267112,1,1,1,1.004671983,1,1,1.008198621
DNApol-iota,1.03292613,1.157422881,1.067337791,1.090479624,1.031605178,1.246767408,1.062467831,1.267922718,1.293396983,1.058821363
Ada2b,1.083008923,1.762104848,1.215921843,1.197760277,1.262848787,1.653449003,1.107986357,1.810222501,1.548617398,1.206591562
CG9636,1.104816224,1.415121244,1.316730378,1.215176881,1.282649831,1.59611851,1.128837892,2.295222234,1.489993444,1.216483949
CG15864,1,1,1.007267112,1.007244249,1.015679663,1.008861195,1,1,1,1
mtg,1,1.037225095,1.014587035,1,1,1.026819843,1,1,1.012946696,1
CR18228,1.002495083,1,1.014587035,1.014540976,1.0477804,1,1.004671983,1,1,1
RpA-70,1.083008923,1.178768635,1.521913387,1.215176881,1.262848787,1.972509743,1.128837892,2.710127298,2.108736651,1.236512701
Mcm2,1.025232844,1.22264841,1.385190275,1.114350837,1.064209244,1.743328822,1.037992778,3.05165956,2.658159309,1.16781994
CG9630,1.015064189,1.037225095,1.114730314,1.059444888,1.064209244,1.182488525,1.057527082,1.298380732,1.212827073,1.093974231
mRpL1,1.102066477,1.389495494,1.555334836,1.325125628,1.243353424,1.870814173,1.233369253,3.689863575,3.573325888,1.374984721
nac,1.080313451,1.245197085,1.279140468,1.189145809,1.132541315,1.214202682,1.113162851,1.180769016,1.152000093,1.05021108
Sgt1,1.226717579,2.782559402,1.918752099,1.730790545,1.892461387,1.821949765,1.458705469,3.355623258,2.727433622,1.352713031
tex,1.040677146,1.136463666,1.198440155,1.122423471,1.168335485,1.540775853,1.067431663,2.087313245,2.028909006,1.148903858
CG7483,1.13269388,1.31536905,1.648090789,1.334725167,1.47543105,2.061466327,1.250736984,3.276905502,1.784007386,1.455863196
Coq2,1.017596859,1.095676986,1.098703488,1.021890563,1.0477804,1.063701872,1.037992778,1.180769016,1.122740346,1.033199999
Poxm,1,1,1,1,1,1,1,1,6.133515925,1
COX7A,9.537558822,203.9500469,936.9105153,692.0307489,688.395207,204.3359718,25.04871348,36033.05055,109422.3771,175.6632247
Arl2,1.20250414,1.467799268,1.810763098,1.508979659,1.408149122,2.173525556,1.42510267,3.869268484,2.337303362,1.479833198
CG9601,1.015064189,1.095676986,1.082907085,1.074850251,1.064209244,1.423169753,1.023579213,1.569915541,1.630386245,1.121102678
COX7AL,1.002495083,1,1.014587035,1,1,1,1,1,1,1
DppIII,1.41394625,1.930697729,3.986841138,3.128223726,2.835976989,3.408529443,1.876200953,6.522783887,3.573325888,1.875208856
CG7352,1.002495083,1,1,1.007244249,1,1.017800911,1.004671983,1.394215469,1,1.008198621
Atg13,1.069598485,1.827699369,1.415609264,1.197760277,1.132541315,3.066126286,1.47924628,2.295222234,1.58897593,1.16781994
stck,1.482503308,5.779692884,3.845082482,3.666598217,3.993478507,4.249643417,2.736824592,3.778501401,10.94223771,3.487812995
CG9684,1.051102385,1.178768635,1.316730378,1.090479624,1.115057588,1.487352107,1.118363529,1.462003639,1.379319273,1.177394454
CG45263,1.03292613,1.115883993,1.021960152,1.029293393,1,2.59294E+14,1.009365794,172.6288598,29.08621104,1.256871215
CG11737,1.080313451,1.095676986,1.172687754,1.106336262,1.132541315,1.182488525,1.227633768,1.180769016,1.182022377,1.058821363
pch2,1.242097948,1.268161613,3.628677967,1.914836342,1.452653926,2.353138609,1.077429008,7.88691602,3.810707253,1.420634213
mRpS18A,1.167077153,1.339627725,2.00394959,1.476654852,1.365007807,2.570169028,1.335076258,4.56871234,2.946278137,1.455863196
CG31460,1.34520316,1.827699369,3.375218453,1.768678525,1.670986622,10.63701872,1.385799515,20.38348089,3.573325888,2.119537646
CR44291,1.00750394,1,1.007267112,1,1,1.008861195,1,1,1.066431491,1
Cenp-C,1.015064189,1.037225095,1.075094254,1.014540976,1,1.291549665,1.018819306,1.209133425,1.137276124,1.033199999
5-HT2B,1,1,1,1,1,1,1,1,1,1
Cyp313b1,1,1,1,1,1.015679663,1,1,1,1,1.01646446
Mkk4,1.178768635,1.698864456,1.510933266,1.232846739,1.262848787,2.271547586,1.286209583,2.464634806,1.830500418,1.277564921
SLIRP2,1.184658224,1.441219597,1.446696259,1.31559513,1.365007807,1.246767408,1.188225273,1.267922718,1.166914687,1.158323286
Dhod,1.289405773,2.360564508,3.399746543,1.587182839,1.750827032,3.469204372,1.677630666,9.312626067,9.498469473,1.728178717
CG11753,1.379146462,2.19416782,2.367084908,1.681532746,2.110203429,2.135511506,2.069138081,3.689863575,2.277938,1.77103421
CG42489,1.449624136,2.317818181,1.288436125,1.029293393,1.097843767,1,3.206807381,1.048621014,1.039345109,1.058821363
bel,1.765034695,4.727191266,4.777990512,2.412376788,3.471686819,24.37660276,3.973656146,33.55623258,7.535203265,1.829832545
p,1.102066477,1.157422881,1.260749866,1.146993954,1.302761348,1.500531824,1.166276754,1.462003639,1.108390354,1.256871215
CG8032,1.025232844,1.178768635,1.067337791,1.044260324,1.0477804,1.141487774,1.067431663,1.267922718,1.212827073,1.121102678
CG8036,2.862265769,76.02429141,100.7267112,27.6698159,101.5679663,7.088832467,3.471249498,846.9056916,156.8666877,6.925091753
mRpL19,1.146895396,1.895735652,1.624395673,1.373823796,1.47543105,1.854382131,1.310415154,4.461537381,2.307429771,1.363803413
CG9773,1.124257519,1.339627725,1.385190275,1.232846739,1.522062312,1.59611851,1.204957308,2.241379853,1.65149436,1.206591562
CG11755,1.00750394,1.075835899,1.067337791,1.051825205,1.015679663,1.192966786,1.018819306,1.394215469,1.166914687,1.041670815
CG8043,1.040677146,1.178768635,1.044402552,1.074850251,1.064209244,1.092230189,1.033165845,1.126020745,1.039345109,1.033199999
hb,1,1,1,1,1,1,1,1,1,1
Cks85A,1.096587497,1.415121244,1.648090789,1.403897573,1.262848787,2.373990229,1.347580307,5.524182799,3.101845139,1.409081686
CG8112,1.254540969,2.115421069,1.478465929,1,1.0477804,1,1,1.024021979,1,1.033199999
TMEM216,1.010017746,1.037225095,1.044402552,1.03674985,1.064209244,1.026819843,1.072418686,1.048621014,1,1.008198621
CG8136,1,1,1.007267112,1,1,1,1,1.024021979,1,1
nom,1.020135847,1.095676986,1.114730314,1.090479624,1.031605178,1.758776799,1.042842263,1.394215469,1.228529176,1.041670815
ouib,1,1,1,1,1,1,1,1,1,1
CG8159,1,1.018442485,1.021960152,1.014540976,1.015679663,1.054358991,1.028361358,1.126020745,1.039345109,1.008198621
ranshi,1.004996391,1.056354104,1.029386851,1.044260324,1.031605178,1.063701872,1.004671983,1.073810967,1.039345109,1.008198621
M1BP,1.141193547,1.389495494,1.636200338,1.287412935,1.302761348,2.503037943,1.262451129,10.48621014,2.307429771,1.352713031
CG8202,1.040677146,1.075835899,1.122831183,1.106336262,1.097843767,1.385997517,1.072418686,1.238179203,1.293396983,1.093974231
CG9801,1.025232844,1.056354104,1.467799268,1.287412935,1.282649831,1.026819843,1.018819306,1.726288598,2.398215846,1.177394454
CG8223,1.187614044,1.415121244,2.436646079,1.681532746,1.545927736,8.995451959,1.227633768,47.90847768,6.886345795,1.504197853
CG11768,1,1,1,1,1,1.008861195,1,1,1,1.008198621
CG8236,1,1,1,1,1,1,1,1,1,1
CCT7,1.55051578,6.689548787,8.714682563,3.511191734,5.202549442,10.08861195,2.736824592,149.712386,75.35203265,4.455907535
CG9839,1.020135847,1.095676986,1.098703488,1.098379329,1.015679663,1.302994339,1.023579213,1.685792525,1.3971769,1.076254285
hng2,1.02268117,1.075835899,1.044402552,1.090479624,1.0477804,1.192966786,1.023579213,1.427707284,1.108390354,1.067502238
CG9837,1,1.018442485,1,1.007244249,1,1.017800911,1,1.024021979,1.012946696,1.008198621
CG9821,20.14246205,236056450.8,26771.51545,1393800.535,744.0834099,23950266200,101.8819306,4.79085E+11,1039345109,1148.903858
CG8369,1.3895E+13,1.8277E+23,540.38639,1.75595793,667.3049161,1.302994339,1.465520517,1.427707284,1.228529176,206824.9066
IscU,1.621648445,3.660092519,4.444252671,3.128223726,2.880444153,5.114606904,2.401965701,5.268045103,4.504341246,2.376219332
CG8379,1.088420058,1.22264841,1.198440155,1.114350837,1.168335485,1.385997517,1.166276754,1.427707284,1.415265724,1.076254285
pyd,4.939954442,57796.92884,7.649759801,1.287412935,109.7843767,10450981.72,1.082462738,57.9277417,1.433588739,1.2466504
osk,1,1,1,1,1,1.073127541,1,1,1,1
skap,2.20329979,5.274997064,5.443134384,6.920307489,3.931828756,3.261444268,2.814444653,4.56871234,6.711438926,2.820685136
CG11964,1.056354104,1.22264841,1.405396094,1.163672366,1.132541315,1.790084628,1.233369253,2.77522992,2.163692455,1.216483949
CG11966,1,1,1,1,1,1.203537898,1,1.024021979,1.052801194,1.008198621
CAHbeta,1.00750394,1.075835899,1.029386851,1.021890563,1.097843767,1.008861195,1.018819306,1.024021979,1.012946696,1.024798068
RagA-B,1.127062635,1.441219597,1.207149354,1.122423471,1.168335485,1.326188825,1.304321387,1.726288598,1.470949508,1.216483949
CG11970,1.010017746,1.018442485,1.03686752,1,1.015679663,1.063701872,1.023579213,1.126020745,1.094223771,1.024798068
E(var)3-9,1.012537824,1.136463666,1.090776692,1.114350837,1.064209244,1.743328822,1.014081534,1.726288598,2.220080463,1.158323286
CG11975,1.099323574,1.441219597,1.316730378,1.250773535,1.224159023,1.989988537,1.204957308,1.810222501,1.927153025,1.288039193
CG31100,1,1,1,1,1,1,1,1,1,1
CG11980,1.102066477,1.268161613,1.837176762,1.424311614,1.262848787,1.920989116,1.322688233,2.295222234,1.761205593,1.554137221
Prosbeta3,4.067310794,16.08233878,156.6637628,44.23520305,44.5295851,129.1549665,11.07986357,2584.46785,890.6778875,16.32172129
CG11982,1.048486325,1.245197085,1.279140468,1.241777788,1.080895687,1.653449003,1.193776642,3.276905502,2.492573909,1.236512701
CG11983,1,1,1.014587035,1,1,1.017800911,1,1.024021979,1.012946696,1
Kcmf1,1.104816224,1.579111144,1.355424938,1.189145809,1.205260937,2.15443469,1.268349279,2.58446785,1.694533969,1.187047466
Sf3b5,1.22061889,1.291549665,2.316220357,1.645511571,1.952272966,4.808308644,1.514125743,6.839928255,3.619588651,1.467799268
CG11986,1.027790885,1.056354104,1.122831183,1.059444888,1.080895687,1.291549665,1.052609309,1.533087739,1.548617398,1.093974231
tgo,1.038087033,1.095676986,1.155827656,1.059444888,1.031605178,1.540775853,1.033165845,1.767757467,1.228529176,1.05021108
neur,1.004996391,1.056354104,1.059637289,1.021890563,1.064209244,1.131461672,1.023579213,1.49712386,1.784007386,1.05021108
hyx,1.048486325,1.115883993,1.155827656,1.090479624,1.132541315,1.474288152,1.057527082,1.767757467,1.182022377,1.148903858
Nmdmc,2.176017269,5.179474679,7.594569217,6.675002161,4.119693107,1.461338943,1.677630666,2.087313245,2.429264817,2.262611182
Rel,1.999243998,7742.636827,7.874562151,3.666598217,8.968146678,1.337940443,3.221789531,1.298380732,1.228529176,2.356896034
