Gene name,MN.C0,MN.C1,MN.C2,MN.C3,MN.C4,MN.C5,MN.C6,MN.C7,MN.C8,MN.C9,MN.C10,MN.C11,MN.C12,MN.C13,MN.C14,MN.C15,MN.C16,MN.C17,MN.C18,MN.C19,MN.C20,MN.C21,MN.C22,MN.C23,MN.C24,MN.C25,MN.C26,MN.C27
da,11.65914401,10.30760802,12.63133564,6.493816316,7.464760408,7.973322752,5.207948329,12.1957046,8.171103315,4.941713361,6.757518355,7.044109314,7.356422545,7.19685673,4.903161412,5.956621435,11.88502227,1.064209244,6.628703162,7.813707377,7.742636827,3.030271083,7.666822075,5.623413252,21.5443469,3.792690191,4.641588834,2.511886432
CR45789,1,1.062467831,1,1,1,1,1,1,1,1,1,1,1.052500285,1,1,1.059253725,1,1,1,1,1.185971012,1,1.193776642,1,1,1,1,1
Mdh1,2.712272579,14.38449888,33.24597932,29.42727176,13.89495494,182.9342743,9.261187281,28.07216204,5.680492162,1.930697729,8.220412615,316.227766,3.593813664,12.45197085,46.41588834,42.16965034,42.16965034,2.880444153,3.72759372,16.37893707,10.89022962,3.593813664,8.376776401,9.085175757,90.85175757,1.438449888,1.895735652,6.309573445
Cnot4,5.207948329,3.792690191,2.813684268,3.398208329,4.641588834,3.608918289,3.548133892,5.73615251,3.94903723,2.811768698,2.797747463,3.495250133,3.244226079,2.682695795,3.937658924,5.308844442,5.623413252,1.282649831,3.16227766,4.047089951,3.030271083,1.978318883,2.648969288,3.83118685,2.610157216,2.636650899,1.467799268,6.309573445
Ip259,12115.27659,1673.725414,5304.41728,5623.413252,62180.01087,10384.68775,6812.920691,41753.18937,3949.03723,51794.74679,782.7390868,38632.82989,175.5676291,14677.99268,253958.0038,7498.942093,29853.82619,254.3345761,15085.90709,719685.673,918.2542836,2555.09709,766.6822075,3831.18685,8254.041853,545.5594781,46.41588834,19952.62315
RpS27A,1.41254E+61,4.02961E+54,6.48029E+52,1.24094E+46,5.57226E+77,1.35253E+51,1.16591E+48,5.51289E+55,4.45782E+50,1.59986E+54,5.55496E+50,7.78582E+58,5.69581E+29,5.77969E+55,1.11588E+60,7.07946E+45,1.1885E+50,5.71159E+32,6.1054E+49,1.50859E+68,1.53174E+43,2.34623E+29,2.42446E+41,3.83119E+47,6.18966E+58,4.28133E+27,1E+27,1E+43
CG5355,9.809947127,3.259551857,4.341913423,3.522694651,7.464760408,3.222528161,3.981071706,5.968456995,2.636650899,3.72759372,4.566405432,4.061585988,1.668100537,4.903161412,2.039500469,3.758374043,2.985382619,1.282649831,2.470911228,2.912632655,1.531740464,6.528521141,3.455107295,2.371373706,3.16227766,2.636650899,1.291549665,1.995262315
Klp31E,1.100694171,1.199353946,1.396135391,1.11397386,1.115883993,1.254182266,1.165914401,1.172102298,1.223824937,1.098541142,1.216483949,1.162030136,1.22712524,1.115883993,1.31536905,1.122018454,1.333521432,1,1.178768635,1,1.185971012,1.185971012,1.092600861,1.211527659,1.333521432,1.438449888,1.136463666,1
RfC3,1.467799268,1.313472706,1.263133564,1.43301257,1.389495494,1.254182266,1.584893192,1.610262028,1.274274986,1.206792641,1.479833198,1.105295141,1.430722989,1.245197085,1.467799268,1.496235656,1.333521432,1.282649831,1.178768635,1.77827941,1.185971012,1,1.42510267,1.615598098,1.467799268,1.274274986,1,1.258925412
pie,1.143755863,1.274274986,1.263133564,1.074607828,1.339627725,1.207722655,1.122018454,1.21957046,1.128837892,1.098541142,1.158323286,1.162030136,1.052500285,1.115883993,1.115883993,1.258925412,1.258925412,1,1.178768635,1.77827941,1,1.185971012,1.092600861,1.467799268,1,1.438449888,1,1.258925412
CG5168,23.26305067,5.455594781,4.799095809,6.493816316,33.40484984,5.895108507,8.576958986,8.877197089,8.171103315,6.86648845,4.795689579,6.373057342,3.782489906,17.30195739,3.937658924,12.58925412,7.079457844,1.863246312,8.483428982,17.7827941,3.593813664,3.300034791,8.376776401,7.498942093,14.67799268,2.069138081,1.291549665,3.16227766
SmB,49.16620263,148.269776,81.85467307,62.64335367,278.2559402,79.73322752,44.66835922,167.5474919,13.81499962,120.6792641,32.40696036,211.8785326,32.44226079,54.71359333,37.2759372,223.8721139,94.40608763,18.63246312,100,34.33320018,65.28521141,33.00034791,18.58791891,261.0157216,510.8969775,8.858667904,11.36463666,79.43282347
KdelR,128.3315186,10.62467831,69.27550656,24.58244069,80.30857221,38.91920267,30.43219887,96.10779662,14.97747476,7.19685673,30.85756853,34.95250133,10.52500285,8.483428982,18.27699369,105.9253725,33.49654392,1.982883949,227.5845926,84.83428982,10.89022962,181.6599788,20.30917621,21.5443469,46.41588834,26.36650899,7.742636827,25.11886432
CG5188,1.283315186,1.199353946,1.221677349,1.11397386,1.389495494,1.207722655,1,1.32035178,1.084145869,1.048113134,1.158323286,1.051330177,1.107756851,1.245197085,1.115883993,1.412537545,1.122018454,1,1.508590709,1.279802214,1.089022962,1.406527242,1.193776642,1.100694171,1,1.128837892,1.136463666,1.258925412
Bug22,2.033917501,2.481628923,1.705626983,1.715437896,2.782559402,1.829342743,1.412537545,1.963828002,1.690714103,1.389495494,1.985511196,2.462092401,1.944862439,1.730195739,1.730195739,1.584893192,2.238721139,1.545927736,1.77827941,2.096179992,1.185971012,2.782559402,2.030917621,1.615598098,5.623413252,1.274274986,1.467799268,2.511886432
TfIIB,3.349654392,2.335721469,2.083725851,1.715437896,2.586416205,1.696321618,1.646897865,2.39502662,2.532262782,1.757510625,1.800193333,1.823348001,1.668100537,2.682695795,1.827699369,2.11348904,1.995262315,1.365007807,2.275845926,2.912632655,1.816599788,1.978318883,2.218982341,1.615598098,3.16227766,1.623776739,1.895735652,1.995262315
