"","FBgn","Symbol","CG","ensembl","Moderate","Strong","Repress","Lethal","Enhancer","No.Effect"
"FBgn0038567","FBgn0038567","CG14316","CG14316","42163",0,0,0,1,0,0
"FBgn0053680","FBgn0053680","CG33680","CG33680","3771724",0,0,0,1,0,0
"FBgn0038564","FBgn0038564","CG7785","CG7785","42158",0,0,0,1,0,0
"FBgn0038597","FBgn0038597","CG8064","CG8064","42196",0,0,0,1,0,0
"FBgn0038550","FBgn0038550","CG17801","CG17801","42144",0,0,0,1,0,0
"FBgn0038566","FBgn0038566","CG14317","CG14317","42161",0,0,0,1,0,0
"FBgn0038576","FBgn0038576","Arp5","CG7940","42173",0,0,0,1,0,0
"FBgn0050430","FBgn0050430","CG30430","CG30430","246610",0,0,0,1,0,0
"FBgn0265041","FBgn0265041","CG44158","CG44158","14462483",0,0,0,1,0,0
"FBgn0038551","FBgn0038551","Odj","CG7357","42145",0,0,0,1,0,0
"FBgn0054038","FBgn0054038","CG34038","CG34038","3885596",0,0,0,1,0,0
"FBgn0011701","FBgn0011701","repo","CG31240","47285",0,0,0,1,0,0
"FBgn0051242","FBgn0051242","tRNA:Gly-TCC-1-3","CR31242","3772457",0,0,0,1,0,0
"FBgn0000477","FBgn0000477","DNaseII","CG7780","48228",0,0,0,1,0,0
"FBgn0038577","FBgn0038577","CG12321","CG12321","42174",0,0,0,1,0,0
"FBgn0051518","FBgn0051518","tRNA:Gly-TCC-1-4","CR31518","3772627",0,0,0,1,0,0
"FBgn0261019","FBgn0261019","moi","CG42350","7354473",0,0,0,1,0,0
"FBgn0038598","FBgn0038598","CG7131","CG7131","42197",0,0,0,1,0,0
"FBgn0263995","FBgn0263995","cpo","CG43738","45840",0,0,0,1,0,0
"FBgn0010877","FBgn0010877","l(3)05822","CG7129","47260",0,0,0,1,0,0
"FBgn0038583","FBgn0038583","CG7183","CG7183","42181",0,0,0,1,0,0
"FBgn0263399","FBgn0263399","CG43445","CG43445","12798450",0,0,0,1,0,0
"FBgn0011481","FBgn0011481","Ssdp","CG7187","42177",0,0,0,1,0,0
"FBgn0038584","FBgn0038584","mTerf5","CG7175","42182",0,0,0,1,0,0
"FBgn0038595","FBgn0038595","CG7142","CG7142","42194",0,0,0,1,0,0
"FBgn0038592","FBgn0038592","CG18599","CG18599","42191",0,0,0,1,0,0
"FBgn0259968","FBgn0259968","Sfp60F","CG42478","8673980",0,0,0,1,0,0
"FBgn0050200","FBgn0050200","tRNA:Ala-CGC-1-3","CR30200","3772194",0,0,0,1,0,0
"FBgn0004181","FBgn0004181","Ebp","CG2668","38009",0,0,0,1,0,0
"FBgn0042693","FBgn0042693","wrd","CG7913","42169",0,0,0,1,0,0
"FBgn0050198","FBgn0050198","tRNA:Ala-CGC-1-1","CR30198","3772480",0,0,0,1,0,0
"FBgn0030724","FBgn0030724","Nipsnap","CG9212","32573",1,0,1,0,0,0
"FBgn0267517","FBgn0267517","5.8SrRNA-Ψ:CR45857","FBgn0267517","FBgn0267517",1,0,1,0,0,0
"FBgn0085244","FBgn0085244","CG34215","CG34215","5740170",1,0,1,0,0,0
"FBgn0243511","FBgn0243511","psidin","CG4845","42389",1,0,1,0,0,0
"FBgn0040031","FBgn0040031","CG12061","CG12061","3354990",1,0,1,0,0,0
"FBgn0263504","FBgn0263504","lncRNA:CR43493","CR43493","12798219",1,0,1,0,0,0
"FBgn0032365","FBgn0032365","CG14929","CG14929","3771749",1,0,1,0,0,0
"FBgn0032409","FBgn0032409","Ced-12","CG5336","34633",1,0,1,0,0,0
"FBgn0024183","FBgn0024183","vig","CG4170","34885",1,0,1,0,0,0
"FBgn0017558","FBgn0017558","Pdk","CG8808","35970",1,0,1,0,0,0
"FBgn0031724","FBgn0031724","CG18266","CG18266","33792",1,0,1,0,0,0
"FBgn0000083","FBgn0000083","AnxB9","CG5730","42492",1,0,1,0,0,0
"FBgn0027508","FBgn0027508","Tnks","CG4719","43095",1,0,1,0,0,0
"FBgn0031365","FBgn0031365","CG17650","CG17650","33358",1,0,1,0,0,0
"FBgn0004456","FBgn0004456","mew","CG1771","32275",1,0,1,0,0,0
"FBgn0004957","FBgn0004957","por","CG6205","32818",1,0,1,0,0,0
"FBgn0046689","FBgn0046689","Takl1","CG31421","318725",1,0,1,0,0,0
"FBgn0263499","FBgn0263499","lncRNA:CR43488","CR43488","12798487",1,0,1,0,0,0
"FBgn0262988","FBgn0262988","CG43296","CG43296","12798379",1,0,1,0,0,0
"FBgn0266518","FBgn0266518","Dpit47","CG3189","35565",1,0,1,0,0,0
"FBgn0050209","FBgn0050209","tRNA:Trp-CCA-2-6","CR30209","3772714",1,0,1,0,0,0
"FBgn0085437","FBgn0085437","CG34408","CG34408","31953",1,0,1,0,0,0
"FBgn0267929","FBgn0267929","lncRNA:CR46210","CR46210","26067521",1,0,1,0,0,0
"FBgn0026390","FBgn0026390","Or33c","CG5006","34603",1,0,1,0,0,0
"FBgn0053833","FBgn0053833","His3:CG33833","CG33833","3772552",1,0,1,0,0,0
"FBgn0065032","FBgn0065032","Arpc3B","CG8936","32696",1,0,1,0,0,0
"FBgn0053738","FBgn0053738","snmRNA:430l","CR33738","3772660",1,0,1,0,0,0
