Genotype,Data,Sample,NMJ,Segment,Boutons,Experiment,IntDen - pMad,CTCF
OK371 > saxA [G85R],Boutons,6a,4,3,6,1,,
OK371 > saxA [G85R],Boutons,5b,4,3,38,1,,
OK371 > saxA [G85R],Boutons,6b,4,3,30,1,,
OK371 > saxA [G85R],Boutons,1b,4,3,22,1,,
OK371 > saxA [G85R],Boutons,4b,4,3,42,1,,
OK371 > saxA [G85R],Boutons,3b,4,3,30,1,,
OK371 > saxA [G85R],Boutons,4a,4,3,35,1,,
OK371 > saxA [G85R],Boutons,1a,4,3,30,1,,
OK371 > saxA [G85R],Boutons,1b,7-Jun,3,36,1,,
OK371 > saxA [G85R],Boutons,2a,7-Jun,3,55,1,,
OK371 > saxA [G85R],Boutons,2b,7-Jun,3,43,1,,
OK371 > saxA [G85R],Boutons,3a,7-Jun,3,60,1,,
OK371 > saxA [G85R],Boutons,3b,7-Jun,3,48,1,,
OK371 > saxA [G85R],Boutons,4a,7-Jun,3,54,1,,
OK371 > saxA [G85R],Boutons,4b,7-Jun,3,26,1,,
OK371 > saxA [G85R],Boutons,5a,7-Jun,3,81,1,,
OK371 > saxA [G85R],Boutons,5b,7-Jun,3,60,1,,
OK371 > saxA [G85R],Boutons,6a,7-Jun,3,33,1,,
OK371 > saxA [G85R],Boutons,6b,7-Jun,3,37,1,,
WT-cr/LoxP,VNC,1,,,,1,550795.504,547172.8649
WT-cr/LoxP,VNC,2,,,,1,337400.333,334035.5309
WT-cr/LoxP,VNC,4,,,,1,869215.897,865385.4168
WT-cr/LoxP,VNC,5,,,,1,686063.662,682844.9274
WT-cr/LoxP,VNC,1,,,,2,958742.03,954318.5682
WT-cr/LoxP,VNC,2,,,,2,1464455.931,1458040.398
WT-cr/LoxP,VNC,3,,,,2,726097.208,719920.5628
WT-cr/LoxP,VNC,4,,,,2,902171.184,886012.9553
WT-cr/LoxP,VNC,6,,,,2,625427.434,613636.2143
G85Rcr/G85Rhr,VNC,1,,,,1,559489.253,555885.8237
G85Rcr/G85Rhr,VNC,2,,,,1,409810.634,405365.6089
G85Rcr/G85Rhr,VNC,3,,,,1,456122.668,450892.5332
G85Rcr/G85Rhr,VNC,1,,,,2,559346.538,579276.4
G85Rcr/G85Rhr,VNC,3,,,,2,443565.005,459369.5
G85Rcr/G85Rhr,VNC,4,,,,2,342679.807,354889.7
G85Rcr/G85Rhr,VNC,5,,,,2,433817.997,449275.2
OK371>gbb [WT],VNC,1,,,,1,733309.625,730157.5168
OK371>gbb [WT],VNC,2,,,,1,661033.083,654408.5532
OK371>gbb [WT],VNC,3,,,,1,578544.213,571621.0721
OK371>gbb [WT],VNC,1,,,,2,608196.58,629867
OK371>gbb [WT],VNC,2,,,,2,483133.167,500347.5
OK371>gbb [WT],VNC,3,,,,2,535768.343,554858.1
OK371>gbb [WT],VNC,4,,,,2,370756.034,383966.3
OK371>gbb [G85R],VNC,1,,,,1,783436.378,773783.41
OK371>gbb [G85R],VNC,2,,,,1,873479.487,856861.9533
OK371>gbb [G85R],VNC,3,,,,1,1271160.951,1261078.029
OK371>gbb [G85R],VNC,4,,,,1,724504.362,709183.7649
OK371>gbb [G85R],VNC,5,,,,1,468309.445,453021.0917
OK371>gbb [G85R],VNC,6,,,,1,793555.816,775341.6911
OK371>gbb [G85R],VNC,7,,,,1,921596.836,914294.4444
OK371>gbb [G85R],VNC,1,,,,2,581769.88,602498.7
OK371>gbb [G85R],VNC,2,,,,2,518605.95,537084.2
OK371>gbb [G85R],VNC,4,,,,2,326176.336,337798.2
OK371>gbb [G85R],VNC,5,,,,2,227153.578,235247.2
OK371> saxA [WT-cr/LoxP],VNC,1,,,,1,862679.111,843048.9726
OK371> saxA [WT-cr/LoxP],VNC,2,,,,1,747407.895,722729.0586
OK371> saxA [WT-cr/LoxP],VNC,3,,,,1,912760.963,865719.6282
OK371> saxA [WT-cr/LoxP],VNC,4,,,,1,559072.791,526027.4564
OK371> saxA [WT-cr/LoxP],VNC,5,,,,1,675415.817,669853.6713
OK371> saxA [WT-cr/LoxP],VNC,7,,,,1,877642.168,863245.7597
OK371> saxA [WT-cr/LoxP],VNC,8,,,,1,1351269.243,1332432.197
OK371>saxA G85R,VNC,1,,,,1,873468.769,863046.3345
OK371>saxA G85R,VNC,2,,,,1,1469279.948,1441600.813
OK371>saxA G85R,VNC,3,,,,1,951337.169,896372.7628
OK371>saxA G85R,VNC,5,,,,1,435155.829,425608.491
OK371>saxA G85R,VNC,6,,,,1,1232063.709,1222933.94
WT-cr/LoxP,NMJ,1a,4,3,,1,961240.025,830971.4828
WT-cr/LoxP,NMJ,2a,4,3,,1,482506.399,387739.3051
WT-cr/LoxP,NMJ,2b,4,3,,1,429755.062,350005.825
WT-cr/LoxP,NMJ,3a,4,3,,1,196481.638,121676.2728
WT-cr/LoxP,NMJ,3b,4,3,,1,391449.512,353682.5989
WT-cr/LoxP,NMJ,4a,4,3,,1,316639.924,275635.9738
WT-cr/LoxP,NMJ,4b,4,3,,1,516888.928,459573.6149
WT-cr/LoxP,NMJ,5a,4,3,,1,336090.585,249956.9536
WT-cr/LoxP,NMJ,5b,4,3,,1,313563.151,270637.2032
