"","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","E1","E2","E3","E4","F1","F2","F3","F4"
"Label","A","A","A","A","B","B","B","B","C","C","C","C","D","D","D","D","E","E","E","E","F","F","F","F"
"cytosine","1325775185","2396772447","2094786049","3840830963","3203814998","2920848693","3285169159","3403508608","2494323938","3343903023"," 753476962","2555945311","2334920931","2126560255","2165614755","2029322462","2596080227","2071608306","4082964266","1420942148","1319073798","1749705873","2709657906","2196809226"
"dADP","  2529379","  9119377","  2520807","  1782370","  1901068","  9166897","  1706930","  1794456","  7997409","  1711040","  1960298","  1739900","164060258","205990240"," 68594883","188863893","115912688"," 85089629"," 54393849","  2488580"," 62738405"," 45294008"," 58635575"," 53687916"
"dAMP"," 83699263","  6484445"," 68974098","  6336882"," 49195531"," 77912158","  6068667"," 52367284","  5606074"," 40124551"," 34847352","  6185887","592635485","817645175","598039682","813418987","508943109","483138686","680011067","213174499","685735905","478656250","397065518","677931701"
"D-arabinono-1,4-lactone","12823251200","22798856176","13133129474","34762524060","22307911959","27864154888","21804669418","30808725562","19624435356","22531927347","20269544603","24841683009","25514296866","26539003173","24243015010","42606120877","20830224844","16028797002","17846707354","18309447151","22534397059","19370108383","30310307361","26247853433"
"dCMP","30315437","29687718","26344319","12147100","40769412","32716245","68249112"," 2445893","59995551","45352952","39463717","33909211","27260878","35053914","35249376","36137917","16603964"," 2238800"," 2326743"," 3392003"," 3080524","19237255","15217455","19896756"
"dehydroascorbic acid","27421302140","45535340063","46051306811","50713205992","41363009349","34836698453","35084972048","35852462858","37266149414","35059479696","17965564540","34179454206","59574929340","65056984676","51600460877","59007258120","42767130575","36908280065","39110730376","27085076064","22741850690","19994422482","40676484036","47973554769"
"deoxyadenosine"," 88263199","373606143","166535641","254318763"," 71264613","113735902","112460467","259067879","420092178","869885864"," 44041209","203200843","352517511","622756780","502660022","559328377","308661126","711408768","591449067","290082081","165057425","336049812","780819077","550735153"
"deoxycarnitine+","256476711000","179265333294","179744314420","142922771494","223620442319","196018127391","266703199268","191175808008","192816771249","126390301454","228180993758","232701956171"," 53412152770"," 56770714402"," 64363757135"," 49114164945"," 73236293089"," 60427133047"," 74419526292"," 45405436180"," 38598592191"," 40606947132"," 33737448916"," 46158523462"
"deoxycytidine"," 82733489","245520677"," 62306643","311688411","100378581","245579695","169541843","244729898","317145552","461532145"," 77921121","254159062","266078923","218671785","275325064","207423553","217211660","298081451","413096634","109436666","171449895","202146848","384295897","324869284"
"deoxyguanosine","   72157670","   52031182","   71913107","   50847136","   54233317","   51911947","   48694976","   51191920","  829677239","   48812235","  279615111","   49635553"," 8901550981","10291067963"," 9747511576","11351235881"," 8835596319","10031552305"," 8904516443"," 4880168518"," 6764786090"," 8929597011","12487834325","12616423124"
"deoxyinosine","  21240161"," 210014904"," 142514980"," 320599376"," 175650491"," 180241251"," 156228854"," 215759174"," 109130676"," 191243862","  82306842"," 190895017","7304100220","9544777333","7449178271","9098104714","5424630558","6203924652","5217971695","3852995325","2669584275","4112231606","7433005735","8039632353"
